scenario,seed_offset,candidate,label,exhausted_hours,external_completed,quota_left_week_end_pct,recovery_to_ideal_hours,recovery_to_1_5x_ideal_hours,recovery_to_2x_ideal_hours,recovery_to_2_5x_ideal_hours,max_interval_delta_vs_current_seconds
burst-recovery,1,kp-80,Kp 80,0,1562,5.8,6.25,5.833333,5.333333,4.916667,985.855575
burst-recovery,1,kp-160,Kp 160,0,1562,5.8,0.833333,0.5,0.166667,0,1160.645798
burst-recovery,1,ti-2h,Ti 2h,0,1562,5.8,6.5,5.916667,5.25,4.666667,1537.491333
burst-recovery,1,ti-half-hour,Ti 0.5h,0,1562,5.8,0,0,0,0,1761.247062
burst-recovery,1,kd-900,Kd 900,0,1562,5.8,3.416667,3.083333,2.75,2.416667,27.536587
burst-recovery,1,kd-3600,Kd 3600,0,1562,5.8,3.416667,3.083333,2.75,2.416667,18.565221
burst-recovery,1,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1562,5.8,6.5,5.916667,5.25,4.666667,1537.756761
burst-recovery,2,current,current (120 / 1h / 1800),0,1562,4.55,3.583333,3.166667,2.75,2.333333,0
burst-recovery,2,kp-80,Kp 80,0,1562,4.55,7.75,7.333333,6.916667,6.5,1386.741002
burst-recovery,2,kp-160,Kp 160,0,1562,4.55,0.583333,0.166667,0,0,1107.734215
burst-recovery,2,ti-2h,Ti 2h,0,1562,4.55,7.833333,7.166667,6.583333,6,1105.172251
burst-recovery,2,ti-half-hour,Ti 0.5h,0,1562,4.55,0,0,0,0,1662.349872
burst-recovery,2,kd-900,Kd 900,0,1562,4.55,3.583333,3.166667,2.75,2.333333,26.540872
burst-recovery,2,kd-3600,Kd 3600,0,1562,4.55,3.583333,3.166667,2.75,2.333333,26.573107
burst-recovery,2,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1562,4.55,7.833333,7.166667,6.583333,6,1105.40258
burst-recovery,3,current,current (120 / 1h / 1800),0,1461,8.1,12.916667,12.666667,12.5,12.333333,0
burst-recovery,3,kp-80,Kp 80,0,1461,8.1,15.583333,15.333333,15.083333,14.833333,1622.521555
burst-recovery,3,kp-160,Kp 160,0,1461,8.1,10.833333,10.666667,10.5,10.333333,1648.412844
burst-recovery,3,ti-2h,Ti 2h,0,1461,8.1,14.833333,14.5,14.166667,13.833333,2679.072756
burst-recovery,3,ti-half-hour,Ti 0.5h,0,1461,8.1,10.083333,10,9.833333,9.75,3956.001592
burst-recovery,3,kd-900,Kd 900,0,1461,8.1,12.916667,12.666667,12.5,12.333333,2.403907
burst-recovery,3,kd-3600,Kd 3600,0,1461,8.1,12.916667,12.666667,12.5,12.333333,14.354832
burst-recovery,3,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1461,8.1,14.833333,14.5,14.166667,13.833333,2679.270348
burst-recovery,4,current,current (120 / 1h / 1800),0,1489,7.55,8.416667,8.166667,8,7.75,0
burst-recovery,4,kp-80,Kp 80,0,1489,7.55,11,10.666667,10.333333,10.083333,1346.882191
burst-recovery,4,kp-160,Kp 160,0,1489,7.55,7.333333,7.166667,6.916667,6.75,1403.201788
burst-recovery,4,ti-2h,Ti 2h,0,1489,7.55,9.666667,9.25,8.833333,8.333333,2529.889013
burst-recovery,4,ti-half-hour,Ti 0.5h,0,1489,7.55,6.916667,6.833333,6.666667,6.583333,4381.616342
burst-recovery,4,kd-900,Kd 900,0,1489,7.55,8.416667,8.166667,8,7.75,1.550195
burst-recovery,4,kd-3600,Kd 3600,0,1489,7.55,8.416667,8.166667,8,7.75,31.576616
burst-recovery,4,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1489,7.55,9.666667,9.25,8.833333,8.333333,2530.084136
burst-recovery,5,current,current (120 / 1h / 1800),0,1476,7.8,10.75,10.583333,10.333333,10.166667,0
burst-recovery,5,kp-80,Kp 80,0,1476,7.8,12.75,12.416667,12.166667,11.833333,1326.658391
burst-recovery,5,kp-160,Kp 160,0,1476,7.8,9.166667,9,8.833333,8.666667,1151.788482
burst-recovery,5,ti-2h,Ti 2h,0,1476,7.8,13.416667,13.083333,12.666667,12.333333,2062.697123
burst-recovery,5,ti-half-hour,Ti 0.5h,0,1476,7.8,7.333333,7.25,7.083333,7,2711.065652
burst-recovery,5,kd-900,Kd 900,0,1476,7.8,10.75,10.583333,10.333333,10.166667,10.978661
burst-recovery,5,kd-3600,Kd 3600,0,1476,7.8,10.75,10.583333,10.333333,10.166667,21.062511
burst-recovery,5,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1476,7.8,13.416667,13.083333,12.666667,12.25,2062.89172
burst-recovery,6,current,current (120 / 1h / 1800),0,1528,5.9,13.333333,13.083333,12.916667,12.75,0
burst-recovery,6,kp-80,Kp 80,0,1528,5.9,15.5,15.25,15,14.75,1680.829157
burst-recovery,6,kp-160,Kp 160,0,1528,5.9,11.5,11.333333,11.166667,11.083333,1537.918416
burst-recovery,6,ti-2h,Ti 2h,0,1528,5.9,14.5,14.166667,13.833333,13.416667,3044.858915
burst-recovery,6,ti-half-hour,Ti 0.5h,0,1528,5.9,10.833333,10.666667,10.583333,10.5,4427.632677
burst-recovery,6,kd-900,Kd 900,0,1528,5.9,13.333333,13.083333,12.916667,12.75,22.189539
burst-recovery,6,kd-3600,Kd 3600,0,1528,5.9,13.333333,13.083333,12.916667,12.75,15.32037
burst-recovery,6,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1528,5.9,14.5,14.166667,13.833333,13.416667,3045.040764
burst-recovery,7,current,current (120 / 1h / 1800),0,1485,9.9,6.416667,6.083333,5.833333,5.583333,0
burst-recovery,7,kp-80,Kp 80,0,1485,9.9,9.583333,9.25,8.916667,8.583333,1421.16777
burst-recovery,7,kp-160,Kp 160,0,1485,9.9,5.166667,5,4.75,4.583333,1135.298169
burst-recovery,7,ti-2h,Ti 2h,0,1485,9.9,8.5,8,7.5,7,1997.368757
burst-recovery,7,ti-half-hour,Ti 0.5h,0,1485,9.9,4.75,4.583333,4.416667,4.25,3531.791171
burst-recovery,7,kd-900,Kd 900,0,1485,9.9,6.416667,6.083333,5.833333,5.583333,9.355481
burst-recovery,7,kd-3600,Kd 3600,0,1485,9.9,6.416667,6.083333,5.833333,5.583333,31.013471
burst-recovery,7,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1485,9.9,8.5,8,7.5,7,1997.632098
responsive-heavy,0,current,current (120 / 1h / 1800),0.293761,497,0,1.166667,0.083333,0,0,0
responsive-heavy,0,kp-80,Kp 80,0,441,3.35,17.416667,16.5,15.5,3.166667,2686.273935
responsive-heavy,0,kp-160,Kp 160,0,425,3.35,0,0,0,0,2979.663138
responsive-heavy,0,ti-2h,Ti 2h,0,503,0.35,19.25,18.25,17.25,16.25,3636.392624
responsive-heavy,0,ti-half-hour,Ti 0.5h,0,445,2.1,0,0,0,0,8016.043632
responsive-heavy,0,kd-900,Kd 900,0.210985,497,0,1.166667,0.083333,0,0,12.290955
responsive-heavy,0,kd-3600,Kd 3600,0.271727,497,0,1.166667,0.083333,0,0,6.968581
responsive-heavy,0,weaker-i-stronger-d,Ti 2h + Kd 3600,0,503,0.35,19.25,18.25,17.25,16.25,3636.619904
responsive-heavy,1,current,current (120 / 1h / 1800),6.133333,402,0,18.75,18.25,17.833333,17.333333,0
responsive-heavy,1,kp-80,Kp 80,0,412,0.55,22.916667,22.333333,21.75,21.25,7011.325147
responsive-heavy,1,kp-160,Kp 160,0,375,1.5,16.083333,15.583333,15.166667,14.666667,6419.535094
responsive-heavy,1,ti-2h,Ti 2h,1.183333,424,0,25,23.5,22.5,21.75,5598.59263
responsive-heavy,1,ti-half-hour,Ti 0.5h,0,388,0.85,15.916667,15.666667,15.416667,15.166667,18385.665474
responsive-heavy,1,kd-900,Kd 900,6.133333,402,0,18.75,18.25,17.833333,17.333333,1.395407
responsive-heavy,1,kd-3600,Kd 3600,6.133333,402,0,18.75,18.25,17.833333,17.333333,1.242645
responsive-heavy,1,weaker-i-stronger-d,Ti 2h + Kd 3600,1.183333,424,0,25,23.5,22.5,21.75,5598.908879
responsive-heavy,2,current,current (120 / 1h / 1800),0,454,0,0,0,0,0,0
responsive-heavy,2,kp-80,Kp 80,2.316667,464,0,17.166667,1.166667,0,0,2108.460841
responsive-heavy,2,kp-160,Kp 160,0,403,2.2,0,0,0,0,7069.884923
responsive-heavy,2,ti-2h,Ti 2h,0.933333,469,0,18,16.833333,0,0,4374.075807
responsive-heavy,2,ti-half-hour,Ti 0.5h,1.7,448,0,0,0,0,0,11588.577916
responsive-heavy,2,kd-900,Kd 900,0,454,0,0,0,0,0,0.452352
responsive-heavy,2,kd-3600,Kd 3600,0,454,0,0,0,0,0,6.20572
responsive-heavy,2,weaker-i-stronger-d,Ti 2h + Kd 3600,0.933333,469,0,18,16.833333,0,0,4374.518525
responsive-heavy,3,current,current (120 / 1h / 1800),3.866667,395,0,14.166667,13.666667,13.166667,12.666667,0
responsive-heavy,3,kp-80,Kp 80,7.25,402,0,17.666667,17.083333,16.416667,15.833333,3927.968151
responsive-heavy,3,kp-160,Kp 160,0.916667,390,0,12.583333,12.083333,11.583333,11.083333,4563.973241
responsive-heavy,3,ti-2h,Ti 2h,2.2,407,0,17.666667,16.666667,15.666667,14.75,4969.902891
responsive-heavy,3,ti-half-hour,Ti 0.5h,2.966667,386,0,10.666667,10.166667,9.75,9.333333,8525.106002
responsive-heavy,3,kd-900,Kd 900,3.866667,395,0,14.166667,13.666667,13.166667,12.666667,0.558181
responsive-heavy,3,kd-3600,Kd 3600,3.866667,395,0,14.166667,13.666667,13.166667,12.666667,1.116362
responsive-heavy,3,weaker-i-stronger-d,Ti 2h + Kd 3600,2.2,407,0,17.666667,16.666667,15.666667,14.75,4970.112121
responsive-heavy,4,current,current (120 / 1h / 1800),0,462,0.45,39.083333,27.583333,26.25,25.416667,0
responsive-heavy,4,kp-80,Kp 80,0,467,0.85,40.5,39.833333,39.166667,38.5,2491.923167
responsive-heavy,4,kp-160,Kp 160,5.1,472,0,21.75,21.416667,21.166667,20.833333,4784.197576
responsive-heavy,4,ti-2h,Ti 2h,0,467,1,42.5,41.833333,41.166667,40.416667,2222.84748
responsive-heavy,4,ti-half-hour,Ti 0.5h,4.1,475,0,21.416667,21.25,21,20.833333,8481.436386
responsive-heavy,4,kd-900,Kd 900,0,462,0.45,39.083333,27.583333,26.25,25.416667,0.392616
responsive-heavy,4,kd-3600,Kd 3600,0,470,0.1,38.416667,27.583333,26.25,25.416667,566.136352
responsive-heavy,4,weaker-i-stronger-d,Ti 2h + Kd 3600,0,467,1,42.5,41.833333,41.166667,40.416667,2223.076066
responsive-heavy,5,current,current (120 / 1h / 1800),0,501,1.1,0,0,0,0,0
responsive-heavy,5,kp-80,Kp 80,1.421561,540,0,0.416667,0,0,0,3606.064099
responsive-heavy,5,kp-160,Kp 160,0.283333,525,0,47.5,47.166667,0,0,4704.484186
responsive-heavy,5,ti-2h,Ti 2h,0,539,0.05,18.75,0,0,0,3194.729368
responsive-heavy,5,ti-half-hour,Ti 0.5h,0.283333,519,0,48.666667,48.416667,0,0,5913.193938
