scenario,source,candidate,time_hours,error,interval_seconds,integral,derivative,integral_step_seconds,cycle_changed,observed_interval_seconds,observed_integral
historical,sanitized-historical,kp-80,5.324167,-3.419,35142.291154,1590414.182,-0.000166,300,false,34751,1051544.1
historical,sanitized-historical,kp-80,5.484444,-3.518,35116.054025,1589358.782,-0.000167,300,false,34712,1050488.7
historical,sanitized-historical,kp-80,5.497778,-3.518,35095.440003,1589189.918,-0.000163,48,false,34681,1050320.4
historical,sanitized-historical,kp-80,5.570278,-3.567,35073.825932,1588258.931,-0.000166,261,false,34649,1049389.8
historical,sanitized-historical,kp-80,5.6575,-3.617,35050.587512,1587173.831,-0.000165,300,false,34614,1048304.6
historical,sanitized-historical,kp-80,5.825833,-3.716,35024.985569,1586059.031,-0.000165,300,false,34575,1047189.8
historical,sanitized-historical,kp-80,5.978333,-3.806,34997.640862,1584917.231,-0.000165,300,false,34534,1046048.1
historical,sanitized-historical,kp-80,6.048333,-3.845,34970.969872,1583948.291,-0.000163,252,false,34494,1045077.7
historical,sanitized-historical,kp-80,6.073889,-3.865,34948.590002,1583592.711,-0.000166,92,false,34461,1044723.1
historical,sanitized-historical,kp-160,0.166389,-0.353,35911.708902,808192.35,-0.000191,300,false,35915,1077625
historical,sanitized-historical,kp-160,0.333333,-0.452,35894.026908,808056.75,-0.000185,300,false,35902,1077489.3
historical,sanitized-historical,kp-160,0.5,-0.552,35874.927438,807891.15,-0.00018,300,false,35887,1077323.8
historical,sanitized-historical,kp-160,0.666389,-0.651,35854.474509,807695.85,-0.000176,300,false,35872,1077128.6
historical,sanitized-historical,kp-160,0.833056,-0.75,35832.676101,807470.85,-0.000174,300,false,35856,1076903.6
historical,sanitized-historical,kp-160,0.999722,-0.849,35809.53826,807216.15,-0.000171,300,false,35838,1076648.8
historical,sanitized-historical,kp-160,1.166389,-0.948,35785.065605,806931.75,-0.00017,300,false,35820,1076364.3
historical,sanitized-historical,kp-160,1.333056,-1.048,35759.218136,806617.35,-0.000169,300,false,35800,1076050
historical,sanitized-historical,kp-160,1.5,-1.147,35732.049687,806273.25,-0.000168,300,false,35780,1075706
historical,sanitized-historical,kp-160,1.666389,-1.246,35703.560318,805899.45,-0.000167,300,false,35759,1075332.2
historical,sanitized-historical,kp-160,1.833056,-1.345,35673.750216,805495.95,-0.000167,300,false,35736,1074928.6
historical,sanitized-historical,kp-160,2,-1.444,35642.61953,805062.75,-0.000166,300,false,35713,1074495.3
historical,sanitized-historical,kp-160,2.166667,-1.544,35610.124799,804599.55,-0.000166,300,false,35689,1074032.2
historical,sanitized-historical,kp-160,2.286111,-1.613,35577.617593,804115.65,-0.000165,300,false,35664,1073548.2
historical,sanitized-historical,kp-160,2.333333,-1.643,35548.933306,803836.34,-0.000166,170,false,35643,1073268.8
historical,sanitized-historical,kp-160,2.434722,-1.702,35519.387101,803325.74,-0.000165,300,false,35621,1072758.1
historical,sanitized-historical,kp-160,2.499722,-1.742,35491.097961,802918.112,-0.000166,234,false,35599,1072351.1
historical,sanitized-historical,kp-160,2.601667,-1.802,35461.474634,802377.512,-0.000166,300,false,35577,1071810.7
historical,sanitized-historical,kp-160,2.666667,-1.841,35432.910485,801946.718,-0.000166,234,false,35556,1071379.7
historical,sanitized-historical,kp-160,2.768056,-1.901,35402.750808,801376.418,-0.000166,300,false,35533,1070809.5
historical,sanitized-historical,kp-160,2.833056,-1.94,35373.526991,800922.458,-0.000166,234,false,35511,1070353.9
historical,sanitized-historical,kp-160,2.906944,-1.98,35344.158012,800395.778,-0.000164,266,false,35489,1069827.6
historical,sanitized-historical,kp-160,3.018889,-2.05,35312.497119,799780.778,-0.000166,300,false,35465,1069212.7
historical,sanitized-historical,kp-160,3.185833,-2.149,35277.628205,799136.078,-0.000165,300,false,35439,1068568.1
historical,sanitized-historical,kp-160,3.352222,-2.248,35240.023189,798461.678,-0.000165,300,false,35411,1067893.7
historical,sanitized-historical,kp-160,3.52,-2.347,35200.036252,797757.578,-0.000165,300,false,35381,1067189.5
historical,sanitized-historical,kp-160,3.635556,-2.417,35159.189103,797032.478,-0.000166,300,false,35350,1066464.5
historical,sanitized-historical,kp-160,3.696389,-2.446,35121.443426,796496.804,-0.000162,219,false,35322,1065927.9
historical,sanitized-historical,kp-160,3.768889,-2.496,35083.894081,795845.348,-0.000166,261,false,35294,1065275.4
historical,sanitized-historical,kp-160,3.864167,-2.546,35045.246844,795081.548,-0.000163,300,false,35265,1064511.7
historical,sanitized-historical,kp-160,3.928333,-2.585,35008.06626,794484.413,-0.000163,231,false,35237,1063913.9
historical,sanitized-historical,kp-160,4.023056,-2.645,34968.963244,793690.913,-0.000165,300,false,35208,1063120.5
